token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
吞,179,24,0.3065844567973155,159,-0.02955553057499366,-0.04262311519364756,0.9999999999996589,264,1.7113676635776264e-13,0.9999999999994879,1.7243260667925887e-12,6,tūn,to swallow; to take,Translation,流 | 泻 | 漫 | 涌 | 泄 | 溢 | 浮 | 浪 | 顺 | 腾 | 逆 | 射,0.5
火,179,24,0.29322437293463544,65,-0.02907899528929836,-0.041143177800341796,0.9999999999999432,359,6.127830233650037e-14,0.9999999999998819,3.24918301109114e-13,3; 4,huǒ,fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); Kangxi radical 86; surname Huo,Translation,香 | 酥 | 脆 | 嫩 | 腥 | 辣 | 咸 | 稠 | 蜜 | 熟 | 紫 | 酸,0.25
签署,180,45,0.37310258518220696,366,0.0135471779988105,0.021152771294752577,1.0,151,1.559831284508586e-15,0.9999999999999984,9.812332322948896e-15,7-9,qiānshǔ,to sign (an agreement),Translation,创办 | 组建 | 举办 | 开办 | 设立 | 创立 | 成立 | 主办 | 筹办 | 承办 | 开设 | 创建,0.25
协议,180,45,0.35657423794271687,215,0.01807948780314389,0.027330830415871196,0.9999999969013942,158,3.098598467451552e-9,0.9999999938027957,1.0649707760216918e-8,5,xiéyì,agreement; pact; protocol,Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,0.5
签订,180,45,0.3557087879747224,366,0.0007328246833944729,0.0011361199609457528,1.0,89,2.5597607270312225e-17,1.0,3.34350603986398e-16,5,qiāndìng,to agree to and sign (a treaty etc),Translation,宣布 | 呼吁 | 表示 | 强调 | 提出 | 声称 | 宣称 | 重申 | 敦促 | 提议 | 指出 | 表态,0.0
提交,180,45,0.34230421977874137,275,0.03565054966923664,0.051418098188919764,0.999999999996362,275,3.6333946185499974e-12,0.9999999999927286,1.6593696717640466e-11,6,tíjiāo,to submit (a report etc); to refer (a problem) to sb,Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.5
订立,180,45,0.3348371330178461,151,0.005539587471606877,0.008259381540684051,0.9999999999999574,146,3.539369829434004e-14,0.999999999999922,2.1302096444339596e-13,7-9,dìnglì,"to conclude (treaty, contract, agreement etc); to set up (a rule etc)",Translation,依照 | 遵守 | 履行 | 遵照 | 依法 | 违反 | 按照 | 不予 | 予以 | 服从 | 采取 | 负有,0.0
协议书,180,45,0.3327780866568824,305,0.044538949514515536,0.06257572147996024,1.0,158,1.6550225275646138e-15,0.9999999999999983,1.0830749693828241e-14,5,xiéyìshū,contract; protocol,Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,0.25
批准,180,45,0.3293774637804611,305,-0.01582911125832487,-0.02360360769794196,0.9999999981845775,305,1.8055787772042307e-9,0.9999999963789987,6.4125071251493265e-9,3,pīzhǔn,to approve; to ratify,Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.75
事项,180,45,0.3278045660371845,12,0.012020280929288585,0.0175679696734005,0.9999999999891571,135,9.095339594738804e-12,0.9999999999800617,4.874467966754373e-11,7-9,shìxiàng,matter; item,Translation,总经理 | 总裁 | 秘书 | 总监 | 经理 | 董事 | 董事长 | 助理 | 主管 | 顾问 | 负责人 | 首席,0.0
转让,180,45,0.3272659219577404,349,0.04260740742743774,0.05956233252634784,0.9999841321408259,29,8.387543779118421e-6,0.9999757445970469,0.000034282729584966045,5,zhuǎnràng,"to transfer (ownership, rights etc)",Translation,修建 | 兴建 | 建造 | 扩建 | 动工 | 建成 | 竣工 | 建 | 重建 | 修路 | 开工 | 搬迁,0.25
申请,180,45,0.3223877252721757,305,-0.042101245760239325,-0.0621317637393009,0.9999999999041478,305,6.826153365995631e-11,0.9999999998358863,3.9464677804450854e-10,4,shēnqǐng,to apply for sth; application form,Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.75
披露,180,45,0.32201761842413695,393,0.0681585240280797,0.0913480597514095,0.9999999940872186,260,5.843015519281119e-9,0.9999999882442031,1.9753272705390224e-8,7-9,pīlù,to reveal; to publish; to make public; to announce,Translation,专栏 | 栏目 | 频道 | 新闻 | 专题 | 头条 | 标题 | 刊登 | 报道 | 改版 | 晚报 | 视频,0.25
递交,180,45,0.3212255344341198,275,-0.016345449904939413,-0.024080826156759747,0.9999999989869508,275,1.0130515881316546e-9,0.9999999979738992,3.6708304102769527e-9,7-9,dìjiāo,to present; to give; to hand over; to hand in; to lay before,Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.5
公告,180,45,0.3202926262790952,275,0.023242976476569033,0.03306489067121126,0.9999995548592717,260,3.1599177374417423e-7,0.999999238867498,1.2100877796289413e-6,5,gōnggào,post; announcement,Translation,专栏 | 栏目 | 频道 | 新闻 | 专题 | 头条 | 标题 | 刊登 | 报道 | 改版 | 晚报 | 视频,0.5
办理,180,45,0.31351408712128886,305,-0.02561781322926504,-0.03731731816875784,0.9669271036910644,305,0.0330728374159726,0.9338542662750918,0.02424575229659884,3,bànlǐ,to handle; to transact; to conduct,Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.75
约定,180,45,0.31337049739697154,146,0.03718802723163328,0.05137762723172506,0.9999999999999858,305,1.7796552373414267e-14,0.999999999999968,9.683394679330793e-14,6,yuēdìng,"to agree on sth (after discussion); to conclude a bargain; to arrange; to promise; to stipulate; to make an appointment; stipulated (time, amount, quality etc); an arrangement; a deal; appointment; undertaking; commitment; understanding; engagement; stipulation",Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.5
合同,180,45,0.31322983851680264,305,0.03827767689148881,0.05279331220032937,0.9999998494423437,56,1.404020667320194e-7,0.9999997090402769,4.274713338492265e-7,4,hétóng,(business) contract,Translation,数量 | 数目 | 比例 | 范围 | 规模 | 次数 | 等级 | 百分比 | 人数 | 期限 | 种类 | 比重,0.75
生效,180,45,0.3105704333353734,88,-0.010014870257628872,-0.014526313842441508,0.9999999999935767,286,3.671665305275556e-12,0.9999999999899051,2.968029325434476e-11,7-9,shēngxiào,to take effect; to go into effect,Translation,制定 | 制订 | 实施 | 颁布 | 出台 | 试行 | 实行 | 法规 | 条例 | 推行 | 施行 | 修订,0.25
公布,180,45,0.30695015905709755,286,0.015599507387244915,0.022013013098796188,0.9999999999504183,260,4.656618745661541e-11,0.9999999999038521,2.0711919211421806e-10,3,gōngbù,to announce; to make public; to publish,Translation,专栏 | 栏目 | 频道 | 新闻 | 专题 | 头条 | 标题 | 刊登 | 报道 | 改版 | 晚报 | 视频,0.25
事宜,180,45,0.3064830348427185,215,-0.009297813178606118,-0.01340675664148675,1.0,12,1.7191785835983574e-17,1.0,1.158000068465852e-16,7-9,shìyí,matters; arrangements,Translation,原则 | 职责 | 规则 | 措施 | 准则 | 职权 | 举措 | 方针 | 职能 | 纲领 | 宗旨 | 规矩,0.25
出具,180,45,0.3057660171147373,305,0.011914815029275883,0.016872952364238,0.9999999995008011,275,4.1006641656381945e-10,0.9999999990907347,1.909883914965736e-9,7-9,chūjù,"to issue (document, certificate etc); to provide",Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.75
变更,180,45,0.29976949838170946,189,0.008744631104079192,0.012334185926240977,0.9995027461240051,189,0.0004972536832985792,0.9990054924407066,0.0007142577893562015,6,biàngēng,to change; to alter; to modify,Translation,中止 | 取消 | 撤销 | 终止 | 暂停 | 停止 | 关闭 | 废除 | 作废 | 解除 | 中断 | 延期,0.25
承诺,180,45,0.29875644026562836,89,-0.027405642805897412,-0.03908148948459285,0.9999999998725002,12,1.2742340550563072e-10,0.9999999997450768,5.062422625521415e-10,6,chéngnuò,to promise; to undertake to do something; commitment,Translation,原则 | 职责 | 规则 | 措施 | 准则 | 职权 | 举措 | 方针 | 职能 | 纲领 | 宗旨 | 规矩,0.5
委托,180,45,0.29868045614192523,188,-0.015668051638389358,-0.02234081707205365,0.9999999866749932,275,1.3323450553585572e-8,0.9999999733515427,4.255575392247035e-8,5,wěituō,to entrust; to trust; to commission,Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.5
受理,180,45,0.2972844485250752,305,-0.030418645100942,-0.04328728037553256,0.9999999954269043,305,4.572864858932979e-9,0.9999999908540395,1.542081400229832e-8,7-9,shòulǐ,to accept to hear a case; to handle (a service),Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.75
意向,180,45,0.2907109281876863,382,0.02944831732816411,0.03986303896493892,0.9999999999999858,85,1.6320480623139192e-14,0.9999999999999695,9.023733502974783e-14,7-9,yìxiàng,intention; purpose; intent; inclination; disposition,Translation,动机 | 目的 | 方法 | 意图 | 出发点 | 手段 | 思路 | 前提 | 途径 | 能力 | 效果 | 逻辑,0.0
授权,180,45,0.29035029168163934,305,0.01154981706710595,0.016014731930020145,0.9999982296833887,305,1.7678453081627503e-6,0.9999964618380806,4.212367641420904e-6,7-9,shòuquán,to authorize,Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.75
拟,180,45,0.2887744969220473,151,-0.0012508247552646123,-0.0017586894028002915,0.9999999999999574,151,3.383617361641226e-14,0.9999999999999235,2.2054014020061113e-13,7-9,nǐ,doubtful; suspicious; variant of 拟; to emulate; to imitate; to plan to; to draft (a plan); to imitate; to assess; to compare; pseudo-,Translation,创办 | 组建 | 举办 | 开办 | 设立 | 创立 | 成立 | 主办 | 筹办 | 承办 | 开设 | 创建,0.25
发布,180,45,0.2877695200522934,151,-0.020525893388013416,-0.028819172958619414,0.999999997184176,260,2.8052395622956175e-9,0.9999999943789364,9.735921701857795e-9,5,fābù,to release; to issue; to announce; to distribute; also written 发布; to release; to issue; to announce; to distribute,Translation,专栏 | 栏目 | 频道 | 新闻 | 专题 | 头条 | 标题 | 刊登 | 报道 | 改版 | 晚报 | 视频,0.25
上报,180,45,0.28762482316186555,305,-0.026956140730041767,-0.0378398091433872,0.9999967756757654,305,3.2243026120664725e-6,0.9999935513731534,7.343031968040197e-6,7-9,shàngbào,to report to one's superiors; to appear in the news; to reply to a letter,Translation,审核 | 审查 | 验收 | 证书 | 评审 | 审批 | 认证 | 登记 | 公示 | 许可证 | 评定 | 手续,0.5
出资,180,45,0.28327050078154686,151,-0.058892117498839325,-0.08216784374447737,0.9999999995173567,349,3.6031045290697526e-10,0.9999999991570463,1.8551230601452917e-9,7-9,chūzī,to fund; to put money into sth; to invest,Translation,缴纳 | 交纳 | 减免 | 返还 | 贷款 | 补助 | 征收 | 纳税 | 还款 | 收取 | 捐款 | 缴费,0.0
表决,180,45,0.2829024857012263,88,-0.0419979320024963,-0.0585665563818955,0.9999996828924443,158,3.161812621956066e-7,0.9999993667111822,8.461311496157611e-7,7-9,biǎojué,to decide by vote; to vote,Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,0.0
计划,180,45,0.2727407750640763,286,-0.015498888510284359,-0.021311367362373466,0.9999999999972005,244,2.6015515405473088e-12,0.9999999999945989,1.3026891380344498e-11,2,jìhuà,plan; project; program; to plan; to map out,Translation,产业 | 建设 | 业务 | 发展 | 运营 | 创新 | 平台 | 战略 | 体系 | 协同 | 项目 | 开发,0.0
移交,180,45,0.2726730978002801,29,-0.02801835560898852,-0.03852236941085247,0.9999999999999716,275,2.7889354922568564e-14,0.9999999999999437,1.501627847728054e-13,7-9,yíjiāo,to transfer; to hand over,Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.25
公开,180,45,0.27059459136413333,206,0.026544388958922194,0.035113957359838806,0.9999999981996268,275,1.7641726657040905e-9,0.9999999964354541,6.381066966458999e-9,3,gōngkāi,open; overt; public; to make public; to release,Translation,公函 | 信件 | 回信 | 通知 | 电报 | 通告 | 答复 | 公开信 | 请求 | 来信 | 命令 | 告示,0.25
持有,180,45,0.269698080777508,87,0.014326652841217369,0.019239998811100684,0.9999999974775591,312,1.2797929296554942e-9,0.9999999961977661,9.050405518615771e-9,6,chíyǒu,"to hold (passport, views etc)",Translation,源于 | 来源于 | 基于 | 作为 | 属于 | 包括 | 视为 | 得益于 | 列为 | 称为 | 来自 | 及,0.0
交付,180,45,0.26379246234562664,29,-0.022930669441851792,-0.031147018020096635,0.999999999720373,29,2.794422498557134e-10,0.9999999994409308,1.07357274797204e-9,7-9,jiāofù,to hand over; to deliver,Translation,修建 | 兴建 | 建造 | 扩建 | 动工 | 建成 | 竣工 | 建 | 重建 | 修路 | 开工 | 搬迁,0.5
到期,180,45,0.25868820712862617,278,-0.001034682492266903,-0.0013957453560251567,0.9999987102277506,297,8.88062561626982e-7,0.999997822165189,3.301197242679836e-6,6,dàoqī,to fall due (loan etc); to expire (visa etc); to mature (investment bond etc),Translation,吨 | 美元 | 元 | 价格 | 产量 | 销量 | 美金 | 价 | 人民币 | 产值 | 总量 | 千克,0.25
重组,180,45,0.2496527724310578,88,0.012932057722838064,0.016942759972707035,0.9999976990079246,117,2.2974489429475225e-6,0.9999954015589816,5.37437590931678e-6,6,chóngzǔ,to reorganize; to recombine; to restructure,Translation,金融 | 贸易 | 能源 | 航运 | 房地产 | 外贸 | 医药 | 电力 | 农业 | 物流 | 信贷 | 银行,0.0
发行,180,45,0.24373074720085874,151,0.015140607736963851,0.01962718978785358,0.9989452629270549,117,0.0010535612487257864,0.9978917016783291,0.001384283822552467,5,fāxíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",Translation,金融 | 贸易 | 能源 | 航运 | 房地产 | 外贸 | 医药 | 电力 | 农业 | 物流 | 信贷 | 银行,0.0
申办,180,45,0.24340935572248282,151,-0.0643535259518215,-0.08505725842443365,0.9999997757757166,382,2.2391170515199267e-7,0.9999995518640115,6.108455847746914e-7,7-9,shēnbàn,to apply for; to bid for,Translation,预订 | 预约 | 订购 | 报名 | 抽奖 | 预售 | 领取 | 预定 | 申领 | 购买 | 招聘 | 招标,0.75
合并,180,45,0.23407970431216008,366,-0.047517408620694146,-0.062039625909143546,0.9999999995062865,117,4.425923507315257e-10,0.9999999990636942,1.8758417464398074e-9,5,hébìng,variant of 合并; to merge; to annex,Translation,金融 | 贸易 | 能源 | 航运 | 房地产 | 外贸 | 医药 | 电力 | 农业 | 物流 | 信贷 | 银行,0.0
发起人,180,45,0.23044075511047898,151,-0.07771932743697771,-0.10099200023012539,0.9999303799392423,135,0.00006961904681327004,0.999860760892429,0.00012285231042781568,7-9,fāqǐrén,proposer; initiator; founding member,Translation,总经理 | 总裁 | 秘书 | 总监 | 经理 | 董事 | 董事长 | 助理 | 主管 | 顾问 | 负责人 | 首席,0.25
日期,180,45,0.23025561741854988,277,-0.03144096185393952,-0.04084597765884003,0.9999999362159449,386,6.378169590214042e-8,0.9999998724342489,1.870279013925391e-7,1,rìqī,date,Translation,流程 | 步骤 | 程序 | 环节 | 过程 | 方式 | 模式 | 进度 | 方案 | 工序 | 细节 | 日程,0.0
获悉,180,45,0.22727308881412,387,-0.08520122578036138,-0.11026046142175339,0.999986239743976,89,0.000011921079370455405,0.9999743186646056,0.00002911510666845252,7-9,huòxī,to learn of sth; to find out; to get news,Translation,宣布 | 呼吁 | 表示 | 强调 | 提出 | 声称 | 宣称 | 重申 | 敦促 | 提议 | 指出 | 表态,0.25
归属,180,45,0.2135528060064221,278,-0.011975859641087022,-0.015227798805249134,0.9999999953669629,158,4.3123899250617935e-9,0.999999991054573,1.5808371546702805e-8,7-9,guīshǔ,to belong to; to be affiliated to; to fall under the jurisdiction of; a place where one feels that one belongs; one's final destination (where one need look no further),Translation,宪法 | 议会 | 条约 | 法律 | 政党 | 人权 | 国会 | 司法 | 协定 | 联合国 | 公民 | 公约,0.0
牙膏,181,28,0.46950452945938903,251,0.09034917253455466,0.1455262174560087,1.0,169,3.8945844274719046e-15,0.9999999999999961,2.428206891938971e-14,7-9,yágāo,toothpaste,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,1.0
洗衣粉,181,28,0.45730550941695164,281,0.021536296965432744,0.03816930490270738,0.9999999999969162,273,2.1675013450711936e-12,0.9999999999947488,1.4490465916124557e-11,6,xǐyīfěn,laundry detergent; washing powder,Translation,首饰 | 工艺品 | 珠宝 | 丝绸 | 服装 | 家具 | 刺绣 | 瓷器 | 地毯 | 服饰 | 陶瓷 | 宝石,1.0
肥皂,181,28,0.45009619465159717,169,0.05965275420401489,0.0978625416611321,0.9999999998858584,273,1.0688013152276577e-10,0.9999999997789782,4.5987718556432685e-10,7-9,féizào,soap,Translation,首饰 | 工艺品 | 珠宝 | 丝绸 | 服装 | 家具 | 刺绣 | 瓷器 | 地毯 | 服饰 | 陶瓷 | 宝石,1.0
口香糖,181,28,0.45000222206346624,251,0.026865279382123908,0.04657132926313169,0.9999999999817106,251,1.828245839438957e-11,0.9999999999634281,7.849910635537029e-11,7-9,kǒuxiāngtáng,chewing gum,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.75
香烟,181,28,0.4414878252154169,251,0.07270887886860106,0.11518766436543783,1.0,251,2.0310001509690928e-16,0.9999999999999998,1.2250265700360986e-15,7-9,xiāngyān,cigarette; smoke from burning incense,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,1.0
饮料,181,28,0.43960911211627834,251,-0.050921045317602,-0.09086701161380725,0.9998282627603376,251,0.00017173680369564272,0.999656525956642,0.00027716299694047875,5,yǐnliào,drink; beverage,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.25
汽水,181,28,0.43840009748775377,251,-0.04135501435196698,-0.07363785885106203,0.9999941682973426,251,5.831702660922897e-6,0.9999883365946817,0.000012704162892455611,4,qìshuǐ,soda pop; carbonated soft drink,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.25
牙刷,181,28,0.43578337310624743,169,0.020451889717475025,0.034980316429581944,0.9999999436215476,169,5.5889724688255156e-8,0.9999998877318229,1.669390987226333e-7,4,yáshuā,toothbrush,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,0.75
药片,181,28,0.4340500955182905,251,0.07344583151452355,0.11486756538982636,0.9999999999999858,243,9.005283742329512e-15,0.9999999999999768,5.0984056577957014e-14,2,yàopiàn,a (medicine) pill or tablet,Translation,蛋白质 | 脂肪 | 含量 | 富含 | 钙 | 热量 | 液体 | 食物 | 含有 | 氧气 | 有毒 | 水分,1.0
瓶,181,28,0.4322135098443792,251,0.07762889058850914,0.12027741033845066,0.9999999730344488,232,2.6965251196223514e-8,0.9999999460691976,8.294202598827158e-8,2,píng,bottle; vase; pitcher; classifier for wine and liquids; variant of 瓶,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,0.75
沐浴露,181,28,0.4304755238898075,169,0.04432120315179988,0.0722025170969451,0.9999999999899671,169,9.953663545878953e-12,0.9999999999800134,4.4188060367936266e-11,7-9,mùyùlù,shower gel,Translation,衬衣 | 衬衫 | 外套 | 大衣 | 裤子 | 毛衣 | 上衣 | 袜子 | 短裤 | 裙子 | 衣服 | 围巾,1.0
矿泉水,181,28,0.4237342133682618,251,0.007520677582611768,0.012882583005299668,0.9999999999995595,251,4.4651966847512437e-13,0.9999999999991129,2.1931047511856813e-12,4,kuàngquánshuǐ,mineral water,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.25
火柴,181,28,0.4228730592827291,79,0.05999348719026937,0.09416349651086003,0.9999999999981384,79,1.8128190941807232e-12,0.9999999999963256,8.753603498656224e-12,5,huǒchái,match (for lighting fire),Translation,棍子 | 钳子 | 剪子 | 绳子 | 叉子 | 梳子 | 剪刀 | 竹竿 | 棍 | 刷子 | 筷子 | 铲子,0.75
药水,181,28,0.4206027679547179,281,0.07474852370632984,0.11426891185809808,0.9999999999243414,243,7.565839775938219e-11,0.999999999848683,3.069145032380235e-10,2,yàoshuǐ,"Yaksu in North Korea, near the border with Liaoning and Jiling province; medicine in liquid form; bottled medicine; lotion",Translation,蛋白质 | 脂肪 | 含量 | 富含 | 钙 | 热量 | 液体 | 食物 | 含有 | 氧气 | 有毒 | 水分,0.75
吸管,181,28,0.41818518382987896,79,0.04682495635909728,0.07448614994674214,0.999999999993733,232,6.112348636469747e-12,0.9999999999876207,2.8142689321299417e-11,4,xīguǎn,(drinking) straw; pipette; eyedropper; snorkel,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,1.0
袋,181,28,0.40321818806426957,169,0.053572507967209027,0.08237434015231009,0.9999999409667328,247,4.7584153854076235e-8,0.999999893382579,1.7884149049664237e-7,4,dài,pouch; bag; sack; pocket,Translation,缠 | 钉 | 绷 | 裹 | 缝 | 绑 | 绣 | 拴 | 扎 | 夹 | 镶 | 罩,0.75
纯净水,181,28,0.40211256815715196,281,-0.0009364878767526008,-0.0015663280859845076,0.9999999999634639,251,2.3667345353915015e-11,0.9999999999397966,1.5791962408177345e-10,4,chúnjìngshuǐ,purified water,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.25
塑料袋,181,28,0.3945574942469087,169,0.02237819012410086,0.03564423771158749,0.9999999999999858,303,1.5566157457616723e-14,0.9999999999999702,8.747692108940782e-14,4,sùliàodài,plastic bag,Translation,钢笔 | 圆珠笔 | 信封 | 铅笔 | 本子 | 毛笔 | 卡片 | 文具 | 钞票 | 墨水 | 邮票 | 笔记本,1.0
烟,181,28,0.3930499332789206,251,0.047150518091000626,0.07208450685691818,1.0,251,1.0928236490112075e-16,0.9999999999999999,1.1550863399816744e-15,3,yān,cigarette or pipe tobacco; smoke; mist; vapour; tobacco plant; (of the eyes) to be irritated by smoke,Translation,饼干 | 酸奶 | 米饭 | 薯片 | 薯条 | 饼 | 面包 | 饺子 | 香肠 | 果酱 | 包子 | 豆浆,0.5
易拉罐,181,28,0.39192574138942554,251,0.047228898419726384,0.07207183104955267,0.9999999999996589,79,2.6153055750746394e-13,0.9999999999993974,1.714920789292863e-12,7-9,yìlāguàn,pull-top can; easy-open can (with ring-pull),Translation,棍子 | 钳子 | 剪子 | 绳子 | 叉子 | 梳子 | 剪刀 | 竹竿 | 棍 | 刷子 | 筷子 | 铲子,1.0
安眠药,181,28,0.37706269619914745,314,-0.030930567153363286,-0.04965277719706366,1.0,149,2.4329326978303508e-21,1.0,3.5912773103938876e-20,7-9,ānmiányào,sleeping pill,Translation,治疗 | 儿科 | 急诊 | 外科 | 内科 | 针灸 | 临床 | 中医 | 西医 | 药物 | 医学 | 门诊,0.25
蜡烛,181,28,0.36605899451021173,331,0.015156302378866837,0.023349815497823112,0.9999999999990195,204,8.051417502311255e-13,0.9999999999982143,4.738255884938603e-12,7-9,làzhú,candle,Translation,彩霞 | 天空 | 星星 | 树叶 | 荷花 | 花瓣 | 月亮 | 仙鹤 | 飞翔 | 燕子 | 大雁 | 桃花,0.25
电饭锅,181,28,0.3591316377310644,296,-0.05651479082435246,-0.08818471023326395,0.9999998733781519,296,1.2662185059384526e-7,0.9999997467563013,3.567805101732874e-7,5,diànfànguō,electric rice cooker,Translation,水管 | 热水器 | 炉灶 | 灯泡 | 电灯 | 水槽 | 炉子 | 水龙头 | 冰箱 | 空调 | 马桶 | 煤气,0.5
盒,181,28,0.35587509331660017,251,0.029748251886912436,0.04414518000691148,0.9999999998720028,232,1.267438751422576e-10,0.999999999745259,5.092165734099188e-10,5,hé,small box; case,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,0.75
塑料,181,28,0.3508140714534915,273,0.017616644810113435,0.026419581318399592,0.9999999097281075,232,7.01519273812295e-8,0.9999998395761801,2.681193121708206e-7,4,sùliào,plastics,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,0.5
火药,181,28,0.3465268019656823,79,0.03136205948086235,0.04579504214583633,0.9999999999788969,142,2.1103443850389298e-11,0.9999999999577934,9.010492012049337e-11,7-9,huǒyào,gunpowder,Translation,飞机 | 军舰 | 潜艇 | 导弹 | 飞船 | 直升机 | 艘 | 船只 | 客机 | 渔船 | 船 | 坦克,0.25
鞭炮,181,28,0.3369944323021257,37,-0.02892988410412356,-0.043634451222748644,0.9999999959105281,226,4.0894672656304995e-9,0.9999999918210608,1.3865907293176683e-8,7-9,biānpào,firecrackers; string of small firecrackers,Translation,春节 | 中秋节 | 清明节 | 元宵节 | 除夕 | 圣诞节 | 节日 | 元旦 | 端午节 | 过年 | 佳节 | 新年,0.0
胶囊,181,28,0.30394048666653667,149,0.01723093202455478,0.024156964581105812,0.9999999999993321,243,5.846666977376395e-13,0.9999999999987474,3.2584067641889847e-12,7-9,jiāonáng,(pharm.) capsule,Translation,蛋白质 | 脂肪 | 含量 | 富含 | 钙 | 热量 | 液体 | 食物 | 含有 | 氧气 | 有毒 | 水分,0.25
传人,182,2,0.5271500166273028,173,0.13529625786313398,0.22247322878818518,1.0,306,8.009527929116108e-30,1.0,1.3876594105271094e-28,7-9,chuánrén,to teach; to impart; a disciple; descendant,Translation,后代 | 子孙 | 一生 | 后裔 | 生前 | 后人 | 晚年 | 辈 | 祖先 | 生平 | 早年 | 祖籍,0.5
失传,182,2,0.5271500166273024,173,0.12761295525561483,0.21252428259291373,1.0,161,3.394713000237636e-36,1.0,4.6274007943976203e-35,7-9,shīchuán,(of skills etc) to die out; lost; extinct,Translation,崛起 | 变革 | 变迁 | 时代 | 复兴 | 诞生 | 演变 | 没落 | 转变 | 世纪 | 年代 | 迈进,0.75
